Unix Timestamp,Transaction_ID,Television,Dryer,Oven,Refrigerator,Microwave,Line Voltage,Voltage,Apparent Power,Energy Consumption (kWh),Month,Day of the Week,Hour of the Day,Offloading Decision
1641689223,23,1,1,1,1,1,234,233,1786,40.408415879566114,January,Sunday,0,Local
1641720769,24,0,0,1,0,1,233,226,1838,16.08007626975912,January,Sunday,9,Remote
1641752316,25,0,1,0,1,1,226,218,1711,51.32680393304345,January,Sunday,18,Remote
1641783862,26,1,0,0,0,1,237,230,1785,57.20967826889572,January,Monday,3,Local
1641815409,27,1,1,0,0,0,226,219,1643,57.888182633365254,January,Monday,11,Remote
1641846955,28,1,0,0,1,0,229,220,1893,72.98003123025208,January,Monday,20,Local
1641878502,29,0,0,1,1,1,220,214,1636,67.39905102900332,January,Tuesday,5,Local
1641910048,30,1,1,1,1,0,222,221,1853,68.88384812029449,January,Tuesday,14,Remote
1641941595,31,1,1,0,0,0,228,219,1801,26.292467768745794,January,Tuesday,22,Local
1641973141,32,1,0,1,0,1,228,222,1866,55.9941407314399,January,Wednesday,7,Local
1642004688,33,1,1,1,0,0,239,236,1710,47.05290164532992,January,Wednesday,16,Local
1642036235,34,1,1,0,1,1,226,220,1960,92.51302134850314,January,Thursday,1,Remote
1642067781,35,0,0,1,1,0,221,215,1762,39.565910333410834,January,Thursday,9,Remote
1642099328,36,1,0,0,1,0,238,230,1582,41.967760763706636,January,Thursday,18,Remote
1642130874,37,1,1,1,0,1,231,230,1945,61.11290504911193,January,Friday,3,Remote
1642162421,38,0,1,0,1,1,234,229,1734,36.04149030329733,January,Friday,12,Remote
1642193967,39,0,1,1,0,1,238,236,1778,91.10412836078136,January,Friday,20,Local
1642225514,40,0,0,0,0,0,227,226,1714,42.5799780474542,January,Saturday,5,Local
1642257060,41,0,1,0,1,0,236,231,1508,72.05414400075242,January,Saturday,14,Local
1642288607,42,0,1,0,1,1,228,228,1789,98.40691134575731,January,Saturday,23,Local
1642320153,43,1,1,1,0,1,230,225,1979,78.47536816352557,January,Sunday,8,Local
1642351700,44,0,1,1,1,1,225,222,1528,43.523520215733,January,Sunday,16,Local
1642383246,45,0,0,1,0,0,236,233,1995,79.80808116770513,January,Monday,1,Remote
1642414793,46,0,0,0,0,1,235,226,1710,60.081116789365794,January,Monday,10,Remote
1642446339,47,1,1,1,0,0,223,222,1674,85.93082727005434,January,Monday,19,Remote
1642477886,48,1,0,1,0,0,236,233,1542,58.597857703463845,January,Tuesday,3,Local
1642509432,49,1,0,0,0,1,223,221,1579,53.97622660007646,January,Tuesday,12,Remote
1642540979,50,0,1,0,0,0,235,233,1616,90.94179551164285,January,Tuesday,21,Local
1642572525,51,0,1,1,1,1,223,216,1594,96.87767567719317,January,Wednesday,6,Local
1642604072,52,1,0,0,1,1,222,214,1721,99.72321832678672,January,Wednesday,14,Remote
1642635618,53,0,0,0,0,0,221,216,1649,75.24509203139851,January,Wednesday,23,Local
1642667165,54,0,0,1,0,1,236,231,1660,94.68328260200718,January,Thursday,8,Local
1642698711,55,0,1,1,0,0,228,227,1677,28.11828135885049,January,Thursday,17,Remote
1642730258,56,1,0,0,0,1,238,236,1817,49.71479180662174,January,Friday,1,Local
1642761804,57,1,1,0,1,1,239,230,1506,20.554130243058164,January,Friday,10,Remote
1642793351,58,0,1,0,0,0,237,232,1664,26.590690830107192,January,Friday,19,Local
1642824897,59,1,1,1,1,0,223,214,1619,34.105772428537215,January,Saturday,4,Local
1642856444,60,0,0,0,1,0,238,238,1706,59.83740374860487,January,Saturday,13,Remote
1642887990,61,1,0,0,0,0,223,220,1740,94.41536704229652,January,Saturday,21,Remote
1642919537,62,0,1,1,0,0,228,219,1939,47.68518657508741,January,Sunday,6,Local
1642951083,63,0,0,1,1,0,221,213,1545,12.43627613117027,January,Sunday,15,Remote
1642982630,64,1,0,0,1,0,222,213,1639,88.57368557819302,January,Monday,0,Local
1643014176,65,0,0,1,1,1,238,233,1758,36.8871354926343,January,Monday,8,Remote
1643045723,66,1,0,1,1,0,237,229,1626,15.726937433982961,January,Monday,17,Local
1643077270,67,1,1,1,1,0,233,226,1955,82.28607872439994,January,Tuesday,2,Local
1643108816,68,0,1,1,0,0,234,227,1690,15.242741107940315,January,Tuesday,11,Local
1643140363,69,1,0,0,1,0,229,222,1663,26.316877120839205,January,Tuesday,19,Remote
1643171909,70,1,0,1,0,0,233,229,1768,64.52405262871386,January,Wednesday,4,Local
1643203456,71,1,1,0,1,1,231,231,1990,68.29269592271282,January,Wednesday,13,Remote
1643235002,72,1,0,0,0,1,235,231,1643,81.95092184800892,January,Wednesday,22,Remote
1643266549,73,1,1,0,0,0,223,221,1777,89.35673215155505,January,Thursday,6,Local
1643298095,74,1,1,0,1,0,229,221,1778,57.12945205522186,January,Thursday,15,Local
1643329642,75,0,0,1,0,1,221,221,1740,26.463357533949534,January,Friday,0,Remote
1643361188,76,0,1,0,1,1,220,218,1856,47.354398313472146,January,Friday,9,Local
1643392735,77,1,0,1,0,1,234,234,1686,86.5152954035695,January,Friday,17,Local
1643424281,78,0,1,1,1,1,238,235,1881,24.62836474998912,January,Saturday,2,Local
1643455828,79,0,0,1,0,1,235,227,1777,85.95571454724931,January,Saturday,11,Remote
1643487374,80,1,0,0,1,0,231,228,1614,54.43174025317489,January,Saturday,20,Remote
1643518921,81,0,1,0,1,1,229,220,1755,74.50714792477586,January,Sunday,5,Local
1643550467,82,1,0,1,0,0,222,217,1517,34.198953236728975,January,Sunday,13,Local
1643582014,83,1,0,0,0,1,233,227,1953,63.38897545512943,January,Sunday,22,Local
1643613560,84,0,1,1,1,0,224,222,1801,22.464579253131582,January,Monday,7,Local
1643645107,85,0,0,0,0,0,224,224,1715,60.05890763501321,January,Monday,16,Remote
1643676653,86,0,1,1,1,1,224,219,1710,72.28893381376831,February,Tuesday,0,Remote
1643708200,87,0,0,1,1,1,238,233,1753,95.68656647680788,February,Tuesday,9,Remote
1643739746,88,1,1,1,0,1,233,225,1860,18.41117070717642,February,Tuesday,18,Local
1643771293,89,1,0,0,1,1,225,221,1610,50.832292638811545,February,Wednesday,3,Remote
1643802839,90,1,1,0,0,0,223,216,1929,44.51822814991023,February,Wednesday,11,Remote
1643834386,91,1,1,0,0,0,230,223,1662,13.364888237156702,February,Wednesday,20,Remote
1643865932,92,0,0,0,1,0,226,224,1755,36.093633859361056,February,Thursday,5,Local
1643897479,93,0,0,1,1,1,236,233,1757,36.73335489608114,February,Thursday,14,Local
1643929025,94,1,1,0,1,0,225,216,1656,10.189250458073161,February,Thursday,22,Remote
1643960572,95,0,1,0,0,1,221,215,1668,16.64669595196692,February,Friday,7,Remote
1643992118,96,0,0,1,1,1,234,232,1604,47.58750666312502,February,Friday,16,Local
1644023665,97,0,1,1,1,0,234,227,1947,75.4601501677693,February,Saturday,1,Local
1644055212,98,0,0,0,0,1,237,229,1704,50.85253054713536,February,Saturday,10,Local
1644086758,99,1,0,0,1,0,224,217,1722,24.32700723753772,February,Saturday,18,Local
1644118305,100,0,1,0,1,0,225,219,1820,24.24943936514421,February,Sunday,3,Remote
1644149851,101,1,1,1,0,0,235,229,1512,77.93603441587757,February,Sunday,12,Remote
1644181398,102,0,1,1,0,0,224,216,1899,30.830183526610078,February,Sunday,21,Remote
1644212944,103,1,0,1,1,0,235,231,1694,31.209970092462274,February,Monday,5,Local
1644244491,104,0,0,1,0,0,223,221,1857,99.11720704442547,February,Monday,14,Local
1644276037,105,1,0,0,1,0,223,215,1695,76.76087815951368,February,Monday,23,Remote
1644307584,106,0,0,0,1,1,237,233,1767,65.78597139033151,February,Tuesday,8,Remote
1644339130,107,0,1,1,0,0,232,231,1693,59.38705304373082,February,Tuesday,16,Local
1644370677,108,0,1,0,0,0,229,222,1793,76.67192014137095,February,Wednesday,1,Local
1644402223,109,0,1,1,1,1,223,222,1510,96.24127020745914,February,Wednesday,10,Local
1644433770,110,1,0,1,1,0,225,218,1851,62.7517047411509,February,Wednesday,19,Local
1644465316,111,1,1,0,0,0,223,223,1610,97.81307066436244,February,Thursday,3,Local
1644496863,112,0,0,1,1,0,236,229,1665,83.51540045605633,February,Thursday,12,Remote
1644528409,113,0,1,1,0,1,226,217,1941,26.977999139584846,February,Thursday,21,Remote
1644559956,114,1,1,0,0,0,223,219,1536,40.10091016182031,February,Friday,6,Remote
1644591502,115,1,0,1,0,1,238,233,1871,39.51949275552066,February,Friday,14,Local
1644623049,116,1,1,1,0,0,226,220,1870,16.614473171250637,February,Friday,23,Local
1644654595,117,1,0,1,1,0,227,220,1875,56.39619262740426,February,Saturday,8,Remote
1644686142,118,1,1,0,1,1,231,225,1917,51.429869074860875,February,Saturday,17,Remote
1644717688,119,0,0,0,1,1,237,229,1565,42.92678663555756,February,Sunday,2,Local
1644749235,120,0,1,0,0,1,223,219,1667,35.82892944392472,February,Sunday,10,Local
1644780781,121,0,1,0,0,0,230,229,1651,39.03523634819957,February,Sunday,19,Remote
1644812328,122,0,0,1,1,1,239,232,1637,88.47382077228094,February,Monday,4,Local
1644843874,123,1,1,1,0,0,227,225,1823,12.134151405053876,February,Monday,13,Local
1644875421,124,1,0,1,1,1,221,220,1752,31.183224892352676,February,Monday,21,Remote
1644906967,125,1,0,1,1,0,237,229,1555,59.437555154994506,February,Tuesday,6,Remote
1644938514,126,0,1,0,0,0,231,229,1816,96.07344877407365,February,Tuesday,15,Local
1644970060,127,0,0,1,0,1,236,233,1781,92.26763859550418,February,Wednesday,0,Local
1645001607,128,0,1,0,0,0,221,219,1928,77.04678639157738,February,Wednesday,8,Remote
1645033153,129,0,1,1,1,1,231,227,1694,91.37243460198783,February,Wednesday,17,Remote
1645064700,130,0,0,0,1,1,223,218,1921,62.46051339802773,February,Thursday,2,Remote
1645096247,131,1,0,0,1,0,239,237,1566,33.13616115399244,February,Thursday,11,Remote
1645127793,132,1,1,0,1,0,228,220,1724,60.43514212076143,February,Thursday,19,Remote
1645159340,133,0,1,0,1,1,233,233,1761,39.998501743647765,February,Friday,4,Remote
1645190886,134,1,0,0,1,0,239,231,1760,71.97807657939887,February,Friday,13,Local
1645222433,135,0,0,1,0,1,223,214,1793,97.877497471159,February,Friday,22,Remote
1645253979,136,1,0,1,1,1,225,216,1815,50.58926542104507,February,Saturday,6,Remote
1645285526,137,1,1,1,1,1,233,228,1798,49.01466836638519,February,Saturday,15,Remote
1645317072,138,0,1,0,0,0,236,227,1650,49.556905635645634,February,Sunday,0,Remote
1645348619,139,1,0,1,0,0,237,230,1671,96.88250062343619,February,Sunday,9,Remote
1645380165,140,0,0,0,0,0,230,228,1644,83.87035127326683,February,Sunday,18,Local
1645411712,141,0,0,1,1,0,239,238,1912,53.54016552410824,February,Monday,2,Remote
1645443258,142,0,1,1,0,1,226,223,1752,13.010131902625297,February,Monday,11,Local
1645474805,143,0,0,0,0,0,225,223,1509,52.742085720677224,February,Monday,20,Local
1645506351,144,0,0,1,1,0,238,235,1606,90.5886588529823,February,Tuesday,5,Local
1645537898,145,1,0,1,1,1,230,226,1544,14.416050357267938,February,Tuesday,13,Remote
1645569444,146,0,1,1,0,0,231,231,1572,70.94803698391154,February,Tuesday,22,Local
1645600991,147,0,0,0,1,0,239,236,1782,32.07872792629212,February,Wednesday,7,Remote
1645632537,148,1,0,0,0,0,238,231,1675,73.1933655112405,February,Wednesday,16,Remote
1645664084,149,0,0,0,1,0,231,227,1895,64.94032954735098,February,Thursday,0,Local
1645695630,150,1,0,1,0,0,236,231,1883,50.81103075612795,February,Thursday,9,Local
1645727177,151,1,1,1,0,0,223,218,1848,33.57870262345608,February,Thursday,18,Remote
1645758723,152,0,0,0,1,1,236,233,1932,59.71840090633405,February,Friday,3,Local
1645790270,153,0,1,1,1,1,238,237,1676,34.342284968694514,February,Friday,11,Local
1645821816,154,1,0,0,0,1,235,234,1642,35.50244993690007,February,Friday,20,Local
1645853363,155,1,0,1,1,0,228,224,1778,51.460332133818746,February,Saturday,5,Local
1645884909,156,0,1,1,0,0,229,223,1603,82.07465377237723,February,Saturday,14,Local
1645916456,157,0,0,1,1,1,234,232,1587,62.85774536779007,February,Saturday,23,Local
1645948002,158,1,0,1,1,1,227,227,1598,38.57090261576184,February,Sunday,7,Remote
1645979549,159,0,1,0,1,1,225,223,1934,97.66386894374105,February,Sunday,16,Remote
1646011095,160,0,1,0,1,1,238,231,1690,45.93987827485436,February,Monday,1,Local
1646042642,161,0,1,0,0,0,221,219,1824,95.97562104273192,February,Monday,10,Remote
1646074188,162,0,1,1,1,0,232,226,1834,67.09081699689588,February,Monday,18,Local
1646105735,163,0,1,0,0,0,239,234,1512,61.4166780056166,March,Tuesday,3,Remote
1646137282,164,1,0,0,1,0,225,216,1970,75.0416114666988,March,Tuesday,12,Local
1646168828,165,0,0,1,0,1,230,230,1892,60.977628383349945,March,Tuesday,21,Remote
1646200375,166,1,1,0,1,0,238,237,1857,11.56745581206019,March,Wednesday,5,Local
1646231921,167,1,1,0,0,1,230,223,1541,11.462245769989606,March,Wednesday,14,Local
1646263468,168,0,1,1,0,0,234,229,1630,81.69466117813228,March,Wednesday,23,Remote
1646295014,169,0,1,1,0,1,230,221,1712,23.255082108210047,March,Thursday,8,Local
1646326561,170,0,0,0,1,0,225,223,1513,41.42054441218263,March,Thursday,16,Local
1646358107,171,1,1,0,0,1,223,223,1543,55.02151766606217,March,Friday,1,Remote
1646389654,172,0,1,0,1,0,231,226,1989,83.95103505230125,March,Friday,10,Remote
1646421200,173,1,1,0,0,1,221,219,1810,96.9194796692458,March,Friday,19,Local
1646452747,174,0,0,0,0,0,234,234,1812,97.07512159031742,March,Saturday,3,Local
1646484293,175,0,0,0,1,0,230,221,1645,66.83925211343552,March,Saturday,12,Local
1646515840,176,1,0,1,1,0,227,222,1543,61.041584933013496,March,Saturday,21,Local
1646547386,177,0,0,1,1,0,227,221,1566,52.86284152603008,March,Sunday,6,Remote
1646578933,178,0,1,0,0,1,220,218,1600,87.190062689864,March,Sunday,15,Remote
1646610479,179,1,0,0,1,0,237,232,1619,88.92244302027518,March,Sunday,23,Remote
1646642026,180,0,1,0,0,0,236,231,1904,29.769869188175957,March,Monday,8,Local
1646673572,181,0,0,1,1,1,228,226,1764,76.37217336341492,March,Monday,17,Local
1646705119,182,1,0,1,1,1,236,227,1598,85.95673764225782,March,Tuesday,2,Local
1646736665,183,0,1,1,1,1,231,222,1712,49.95122025621657,March,Tuesday,10,Local
1646768212,184,0,1,1,0,0,238,235,1592,31.734562487415552,March,Tuesday,19,Remote
1646799758,185,1,1,0,1,1,221,214,1727,35.59590893627627,March,Wednesday,4,Remote
1646831305,186,0,0,1,0,0,226,226,1690,11.560316751980702,March,Wednesday,13,Local
1646862851,187,1,0,1,1,0,238,235,1641,64.42909020940797,March,Wednesday,21,Local
1646894398,188,1,0,0,0,1,232,223,1814,25.041436593966004,March,Thursday,6,Remote
1646925944,189,1,1,1,0,1,235,230,1580,19.5239452371491,March,Thursday,15,Remote
1646957491,190,0,0,1,1,1,228,225,1921,33.13497978790886,March,Friday,0,Remote
1646989037,191,0,0,0,0,1,233,225,1667,50.81529606222038,March,Friday,8,Local
1647020584,192,0,1,0,1,1,220,213,1577,56.01735187856465,March,Friday,17,Remote
1647052130,193,0,0,0,0,0,238,233,1889,76.03797101889396,March,Saturday,2,Remote
1647083677,194,0,1,1,0,0,231,224,1502,28.043616452975805,March,Saturday,11,Remote
1647115224,195,0,0,0,1,0,227,224,1894,30.862158343473695,March,Saturday,20,Remote
1647146770,196,0,1,0,1,1,231,229,1872,88.41050665808822,March,Sunday,4,Remote
1647178317,197,1,0,0,0,0,224,219,1809,68.5793048002574,March,Sunday,13,Local
1647209863,198,1,0,0,1,1,230,223,1629,93.66214581574815,March,Sunday,22,Local
1647241410,199,1,0,1,1,0,239,233,1545,31.313386357354275,March,Monday,7,Local
1647272956,200,1,0,0,0,1,224,219,1531,21.326029343250426,March,Monday,15,Local
1647304503,201,1,0,0,1,1,237,237,1605,92.34124632785358,March,Tuesday,0,Remote
1647336049,202,1,0,0,0,1,224,223,1843,31.61222090980294,March,Tuesday,9,Remote
1647367596,203,0,0,0,0,0,236,231,1928,22.535434399136008,March,Tuesday,18,Remote
1647399142,204,1,0,0,1,1,236,232,1984,68.10059622968784,March,Wednesday,2,Local
1647430689,205,1,1,0,1,0,236,227,1835,68.74414824431119,March,Wednesday,11,Local
1647462235,206,0,0,1,1,0,236,235,1823,11.205595767199304,March,Wednesday,20,Local
1647493782,207,1,1,0,0,1,225,225,1812,72.00479267798204,March,Thursday,5,Local
1647525328,208,0,0,1,1,1,233,224,1914,28.444918404593913,March,Thursday,13,Remote
1647556875,209,1,1,0,1,1,229,223,1591,87.84177123413498,March,Thursday,22,Local
1647588421,210,0,1,1,1,0,222,221,1613,86.06148595125579,March,Friday,7,Remote
1647619968,211,1,1,1,0,1,226,217,1556,54.7387682761282,March,Friday,16,Local
1647651514,212,1,0,1,1,0,232,232,1747,94.65964680281186,March,Saturday,0,Local
1647683061,213,0,0,1,0,1,226,217,1999,26.84615586387074,March,Saturday,9,Remote
1647714607,214,1,1,1,1,1,221,216,1936,82.65639675571416,March,Saturday,18,Remote
1647746154,215,1,0,1,1,1,232,229,1780,41.14876233741296,March,Sunday,3,Remote
1647777700,216,1,1,0,0,0,236,227,1724,24.15409594062106,March,Sunday,12,Local
1647809247,217,0,1,0,0,1,220,211,1954,71.94970586734505,March,Sunday,20,Remote
1647840793,218,0,0,0,1,1,233,226,1949,14.419642368471388,March,Monday,5,Remote
1647872340,219,1,1,0,1,0,230,229,1685,72.49338488385213,March,Monday,14,Local
1647903886,220,0,0,1,0,1,225,216,1978,14.366673482828661,March,Monday,23,Local
1647935433,221,1,0,1,0,0,223,223,1614,50.92370579878988,March,Tuesday,7,Local
1647966979,222,0,0,0,0,0,230,228,1945,96.07116435445592,March,Tuesday,16,Remote
1647998526,223,1,0,1,1,1,223,214,1780,25.41052020545079,March,Wednesday,1,Remote
1648030072,224,1,1,1,1,0,232,232,1578,26.24245661988693,March,Wednesday,10,Local
1648061619,225,0,1,1,1,1,230,230,1594,69.56770971260721,March,Wednesday,18,Local
1648093165,226,1,1,0,0,1,238,229,1877,45.61467767543081,March,Thursday,3,Local
1648124712,227,0,0,1,0,1,235,232,1897,48.83763547661765,March,Thursday,12,Remote
1648156259,228,0,0,0,1,1,226,223,1870,93.019024698779,March,Thursday,21,Remote
1648187805,229,0,1,1,0,1,225,219,1917,50.49605877089897,March,Friday,5,Local
1648219352,230,0,1,1,1,0,224,216,1775,43.96230866130962,March,Friday,14,Remote
1648250898,231,0,0,1,0,0,233,232,1529,66.98267239616175,March,Friday,23,Remote
1648282445,232,0,1,0,1,0,232,229,1916,26.61064054124302,March,Saturday,8,Remote
1648313991,233,1,0,1,0,0,232,223,1746,88.27629227449947,March,Saturday,16,Local
1648345538,234,0,0,1,0,0,225,217,1897,33.743838003172264,March,Sunday,1,Remote
1648377084,235,0,1,1,1,0,222,215,1594,16.730911572343032,March,Sunday,10,Local
1648408631,236,1,1,0,0,0,221,212,1865,15.12925639489856,March,Sunday,19,Remote
1648440177,237,0,0,0,1,0,229,228,1762,77.0626146863228,March,Monday,4,Local
1648471724,238,1,1,1,0,1,231,230,1731,64.46144345408989,March,Monday,12,Remote
1648503270,239,1,0,0,1,0,233,231,1854,75.96449218031616,March,Monday,21,Local
1648534817,240,1,1,0,1,1,222,220,1808,48.98009624616108,March,Tuesday,6,Remote
1648566363,241,1,1,1,1,1,230,224,1761,64.60945490807404,March,Tuesday,15,Local
1648597910,242,0,0,0,0,0,220,214,1831,33.54499798975671,March,Tuesday,23,Remote
1648629456,243,1,0,1,1,0,230,229,1782,43.451570365450216,March,Wednesday,8,Local
1648661003,244,0,1,1,0,1,233,226,1889,87.20271508485094,March,Wednesday,17,Remote
1648692549,245,0,1,1,0,0,229,226,1814,37.50896839907365,March,Thursday,2,Remote
1648724096,246,1,0,0,1,1,227,221,1865,50.8271666635546,March,Thursday,10,Local
1648755642,247,0,1,1,1,0,226,222,1753,34.40086400936684,March,Thursday,19,Remote
1648787189,248,1,1,1,1,1,237,232,1901,63.08757886016629,April,Friday,4,Local
1648818735,249,1,1,0,0,0,233,225,1951,24.345808496076998,April,Friday,13,Local
1648850282,250,1,0,1,0,0,238,235,1588,93.00916438255675,April,Friday,21,Local
1648881828,251,0,1,1,1,0,237,231,1653,97.71843129906335,April,Saturday,6,Remote
1648913375,252,0,1,1,0,1,223,223,1860,66.0428937944464,April,Saturday,15,Remote
1648944921,253,1,0,1,0,0,225,217,1883,72.1927422383613,April,Sunday,0,Remote
1648976468,254,0,1,0,0,1,227,220,1840,91.96062412237906,April,Sunday,9,Local
1649008014,255,1,1,1,1,0,233,225,1918,94.91647380618863,April,Sunday,17,Local
1649039561,256,1,0,0,0,1,228,228,1987,16.35534479409588,April,Monday,2,Remote
1649071107,257,1,0,1,0,1,227,227,1801,85.60810827778425,April,Monday,11,Local
1649102654,258,1,0,0,0,0,236,227,1683,23.937231964928113,April,Monday,20,Local
1649134201,259,0,1,1,0,1,222,219,1725,75.49327200459815,April,Tuesday,4,Remote
1649165747,260,1,0,1,1,0,231,228,1694,57.40414083480278,April,Tuesday,13,Remote
1649197294,261,0,0,1,1,1,224,216,1613,43.185725173253076,April,Tuesday,22,Local
1649228840,262,0,1,0,1,1,232,230,1773,81.7956045765529,April,Wednesday,7,Remote
1649260387,263,1,1,0,0,1,233,233,1542,25.528943751613266,April,Wednesday,15,Local
1649291933,264,0,0,0,0,0,224,218,1815,82.8009213509859,April,Thursday,0,Local
1649323480,265,1,1,1,0,0,226,225,1957,28.542635980271065,April,Thursday,9,Local
1649355026,266,1,0,1,0,1,236,232,1602,41.66902965602752,April,Thursday,18,Remote
1649386573,267,1,0,0,1,0,234,226,1979,40.43833520387335,April,Friday,2,Local
1649418119,268,0,0,0,0,1,231,222,1687,31.604994727746966,April,Friday,11,Local
1649449666,269,0,0,0,0,1,234,226,1689,20.413513471318005,April,Friday,20,Local
1649481212,270,0,0,1,0,1,239,236,1995,49.97224846969554,April,Saturday,5,Remote
1649512759,271,1,1,1,1,0,239,231,1550,84.4500248651733,April,Saturday,13,Remote
1649544305,272,1,1,1,0,1,232,224,1688,53.2833942634143,April,Saturday,22,Remote
1649575852,273,0,0,1,1,0,221,220,1758,81.33272482581454,April,Sunday,7,Remote
1649607398,274,0,1,1,1,1,225,223,1820,55.53251676287863,April,Sunday,16,Remote
1649638945,275,1,1,0,0,0,226,223,1904,77.5939290319325,April,Monday,1,Local
1649670491,276,0,1,0,0,1,237,237,1832,67.08485826826058,April,Monday,9,Remote
1649702038,277,1,1,1,0,1,228,219,1682,70.40417238214667,April,Monday,18,Local
1649733584,278,0,1,1,1,0,223,217,1564,53.82297283001588,April,Tuesday,3,Local
1649765131,279,0,0,1,1,0,223,222,1778,67.1657906536021,April,Tuesday,12,Local
1649796677,280,0,0,0,0,0,230,230,1863,23.190007861114918,April,Tuesday,20,Remote
1649828224,281,1,0,0,0,0,234,227,1607,53.58077098655875,April,Wednesday,5,Local
1649859770,282,1,1,0,0,0,220,214,1900,35.237850439479345,April,Wednesday,14,Local
1649891317,283,0,0,1,0,0,239,231,1789,15.818291099368816,April,Wednesday,23,Remote
1649922863,284,1,0,1,0,1,234,232,1675,30.09163931692113,April,Thursday,7,Remote
1649954410,285,1,1,1,1,1,223,223,1831,20.921541919867913,April,Thursday,16,Remote
1649985956,286,0,0,1,0,1,229,220,1577,44.25534593109449,April,Friday,1,Local
1650017503,287,1,0,0,0,0,223,223,1778,59.68516378867804,April,Friday,10,Local
1650049049,288,0,1,1,0,0,224,221,1897,43.35706206043119,April,Friday,18,Remote
1650080596,289,1,1,0,1,0,236,236,1926,86.5748658386445,April,Saturday,3,Local
1650112142,290,0,1,0,0,1,226,226,1886,50.433815927184654,April,Saturday,12,Local
1650143689,291,1,0,1,0,0,226,218,1627,83.81684757154775,April,Saturday,21,Local
1650175236,292,0,0,1,1,0,224,221,1757,26.685531495399488,April,Sunday,6,Local
1650206782,293,0,0,0,0,0,236,233,1975,37.77156751066055,April,Sunday,14,Local
1650238329,294,0,1,0,1,0,232,226,1835,66.63224476810663,April,Sunday,23,Local
1650269875,295,0,1,1,1,1,223,218,1792,23.491340269215556,April,Monday,8,Remote
1650301422,296,1,1,0,1,0,223,222,1611,42.50434747221233,April,Monday,17,Remote
1650332968,297,1,1,0,0,1,237,237,1541,47.334103763818256,April,Tuesday,1,Remote
1650364515,298,1,1,0,0,0,232,223,1751,81.82928861953118,April,Tuesday,10,Local
1650396061,299,1,0,0,0,0,227,227,1523,14.126374564917754,April,Tuesday,19,Remote
1650427608,300,1,0,1,1,0,223,219,1816,16.034079771536238,April,Wednesday,4,Local
1650459154,301,1,0,1,1,0,229,228,1588,16.516181680175706,April,Wednesday,12,Local
1650490701,302,0,0,1,1,1,224,215,1744,71.52858640613019,April,Wednesday,21,Remote
1650522247,303,0,1,0,0,0,220,214,1792,93.99222086363119,April,Thursday,6,Remote
1650553794,304,0,0,0,1,1,223,217,1756,97.60601306559684,April,Thursday,15,Remote
1650585340,305,0,1,0,0,0,228,221,1741,57.39462080201667,April,Thursday,23,Local
1650616887,306,0,1,0,0,1,223,220,1749,26.13108935431496,April,Friday,8,Remote
1650648433,307,0,0,1,0,1,233,225,1867,26.26230236739834,April,Friday,17,Local
1650679980,308,1,1,1,0,1,224,220,1765,12.800662095176063,April,Saturday,2,Remote
1650711526,309,1,0,0,0,0,225,223,1794,69.8453342200361,April,Saturday,10,Local
1650743073,310,1,1,1,0,0,224,222,1927,31.51686754503284,April,Saturday,19,Local
